"time","content","likedcount","nickname","userid","avatarurl","avatarpath"
"1448510639460","faded是fade的过去式，过去的过去已经过去了，唯有静观现在的生活，不以物喜，不以己悲。",246095,"我是你生命的浩劫",62625855,"http://p1.music.126.net/whEJmdaTIut5Fx7EZe0BsA==/109951163111348173.jpg","avatars/aa31756631da7bdc34575566ebac9c14.jpg"
"1451185247460","这个女声版本的《Faded》最近很火",194544,"网易UFO丁磊",48353,"http://p1.music.126.net/93GM3dF-epgkpmn7xdjseQ==/109951162797195316.jpg","avatars/4720e8c12ded281ae49d6db38ce3c596.jpg"
"1459179507401","我弟弟非常非常喜欢这首歌，无论是什么版本都喜欢，他不容易啊，在外打拼，无依无靠的，也不知道他能否吃饱穿暖，我发这个不是为了求赞，只愿弟弟在外一切都好！",188730,"来自春天棚的挖笋少年",250382435,"http://p1.music.126.net/J7AbjYabVpZnCxWKVrxN2Q==/1426066583642298.jpg","avatars/fc501d0b74f4e5582bb3f5ed3f3ddca9.jpg"
"1459777338743","这歌真的很适合在车上听，特别是大清早在马路上驰骋，感觉整个世界都是自己的！！但是到了中午就没那么合适了，毕竟自行车在马路中间还是挺碍眼的",153319,"猪的小粉丝",80085018,"http://p1.music.126.net/FPCM88mnSQPpb9Gdo8-8PQ==/1375489057109417.jpg","avatars/ca6e17daf39847f3194c5e3c0d11f36c.jpg"
"1451057702287","昨天@ Alan Walker说在中国有一大批粉丝喜欢Faded这首歌喜欢Faded这首歌的MV。就在刚才他赞了我的推文！超级开心！",94276,"EmoDio蓝柒",41360536,"http://p1.music.126.net/bgo2aGVus3GXxubpSRRojA==/109951163190128229.jpg","avatars/9f9993e5ff7d9930d9ce7ff90798f49e.jpg"
"1454150298553","这首歌我已付费购买，永久拥有，本人目前唯一的一次音乐付费，因为挚爱！这首歌将伴随我跑完人生的第一个马拉松42.195km......[爱心]",93631,"Evanescence-Gao",32726883,"http://p1.music.126.net/xaMkdBStS-XhKAm0ufleBw==/7776845744179755.jpg","avatars/ef2ecddbfb169bad2a35e3d01dc6d221.jpg"
"1456901628625","语言会赋予电音灵魂。（唉反正也没人看到）",74725,"铃鸟",246603988,"http://p1.music.126.net/wT6s5VrDqyPsDPY0ci340A==/109951163174405373.jpg","avatars/fd475867cb931e07bc31ae2133d2c102.jpg"
"1450176067114","前些天爷爷去世了，好不容易平复下来。刚随机播到这首眼泪忍不住就流了，感觉心里好像有某些地方空了然后又填补了回来，突然心恸的感觉。手指颤抖到几乎打不出字",67120,"安妮与Tibbers",79894931,"http://p1.music.126.net/AeuoFuKXfIhOT05j8bn9xQ==/18796151278980069.jpg","avatars/04610389705b093f1b39be41fa973a3b.jpg"
"1459004993765","距高考73天 我要拼一次了 为了自己的梦：为了父母的笑颜 为了去俄罗斯看世界杯 为了听一次现场的faded.",60641,"Cocilia",132666388,"http://p1.music.126.net/c7rizRmxej78V2dE47bwMA==/109951163132830978.jpg","avatars/1e9c83f227688170d7d75ebd4d7a8ef1.jpg"
"1456237952545","我为了下这首歌，花了8元，我觉得值",39755,"呵呵尼玛爱",133139896,"http://p1.music.126.net/M8bkO5v9OdNSBYOQ-4_SSw==/18908301462999416.jpg","avatars/8c07917d379dec210c80acff6cb2a852.jpg"
"1460370729185","在fade上有人说这首歌不应该被填词，现在我觉得他错了，就是这完美的女神铸就了这首神曲",36306,"阿鱼没有鱼尾巴",88082645,"http://p1.music.126.net/0ndPfXAxfJ-wr-ZO14u3Sw==/19032546276948720.jpg","avatars/0dc5b0d4853975df6747ad3a47f60b1f.jpg"
"1459696092741","今天是2016年4月3日，一年前我只身一人来到北京追逐自己的梦想，一年后的今天我还是只身一人，还在为自己的梦想努力的奋斗着。现在是晚上23点08分，一个人坐在床上抽着烟听着这首歌，现在很迷茫，也有很大压力，我一直在坚持，因为这是我最初的梦想。不忘初心，方得始终。wait me",33896,"Wlinas",249701253,"http://p1.music.126.net/QI7vsyh4fq8kHgnhx9mfJg==/1402976848860165.jpg","avatars/59711f45b520c9091958e4184df29bfd.jpg"
"1465048541441","不知道有多少人知道，faded的作者Alan Walker 是个出生于1997的年轻人。",30365,"帐号已注销",97104149,"http://p1.music.126.net/VnZiScyynLG7atLIZ2YPkw==/18686200114669622.jpg","avatars/d1644ea89d31c9936f20efb90cb0a09d.jpg"
