"id","uid","text","attitudes","comments","reposts","scheme"
1,"4217451220377277","桄榔的果子，内含超级刺激草酸钙针晶，我曾经在研究这果子的时候着过道，痒了一晚上。不用泡酒，直接把汁抹上也是刺痒，通俗说法“把湿气给拔出来了”，其实就是中毒了。","91","25",35,"https://m.weibo.cn/status/G7jZ81A97?mblogid=G7jZ81A97&luicode=10000011&lfid=1076031410812623"
2,"4217442732070042","改变人类宇宙认知的人走了，致敬。","311","25",41,"https://m.weibo.cn/status/G7jLr8GvM?mblogid=G7jLr8GvM&luicode=10000011&lfid=1076031410812623"
3,"4217442530342543","如果是有甜味那就不太像来檬了，来檬都是很酸的，这个也可能是一种橘柚，橘子和柚子私生子。//@雪影煝火:我对着青柠的简介左看右看都不像，有葡萄柚的香味，吃起来有一点甜，很苦。看来是青柠成熟之后变黄色了。本来弄回来煮鱼吃的，现在看来也可以用来做凉拌菜。","18","7",1,"https://m.weibo.cn/status/G7jL71r6T?mblogid=G7jL71r6T&luicode=10000011&lfid=1076031410812623"
4,"4217434602416717","确实不是柠檬，更像是来檬，也就是平常说的青柠了。跟柠檬关系比较特别，香橼是柠檬的爸爸，香橼是来檬的妈妈。所以，你说他俩啥关系呢三体人的世界，我们不懂哈。","35","11",9,"https://m.weibo.cn/status/G7jyka8Hj?mblogid=G7jyka8Hj&luicode=10000011&lfid=1076031410812623"
5,"4217412536075582","山莓，南方山上非常多，需要授粉才结果子哈。虽然不是正版树莓，但也能吃哈","34","32",1,"https://m.weibo.cn/status/G7iYJpuxg?mblogid=G7iYJpuxg&luicode=10000011&lfid=1076031410812623"
6,"4217399978398120","花有梗，花瓣缺口说明了她樱花家的成员。其实是迎春樱桃了这颗够大的。","57","30",8,"https://m.weibo.cn/status/G7iEtzeJy?mblogid=G7iEtzeJy&luicode=10000011&lfid=1076031410812623"
7,"4217233796686180","嫁接可能性比较大，也可能是芽变只有园丁知道","29","10",2,"https://m.weibo.cn/status/G7ekrs3nC?mblogid=G7ekrs3nC&luicode=10000011&lfid=1076031410812623"
8,"4217223969129029","种树","16","0",2,"https://m.weibo.cn/status/G7e4ACiSp?mblogid=G7e4ACiSp&luicode=10000011&lfid=1076031410812623"
9,"4217204683166033","刚跟博友聊了一下，看大家有很大误解。【再声明一下#植得吃水果# 的测评不要钱，不要钱，不要钱】，只要提供样品，或者样品的购买线索就可以。好吃了会推荐，不好吃就没戏了。再说三遍，测评不收钱，不收钱，不收钱！","81","24",5,"https://m.weibo.cn/status/G7dzudhD3?mblogid=G7dzudhD3&luicode=10000011&lfid=1076031410812623"
10,"4217176380362615","蝶豆的花#一点植物学# 视频介绍过，碱性水里是蓝色的，如果加点柠檬汁会更好看哈，会变成漂亮的红色。","43","22",13,"https://m.weibo.cn/status/G7cPQ1wkD?mblogid=G7cPQ1wkD&luicode=10000011&lfid=1076031410812623"
11,"4217451220377277","桄榔的果子，内含超级刺激草酸钙针晶，我曾经在研究这果子的时候着过道，痒了一晚上。不用泡酒，直接把汁抹上也是刺痒，通俗说法“把湿气给拔出来了”，其实就是中毒了。","91","25",35,"https://m.weibo.cn/status/G7jZ81A97?mblogid=G7jZ81A97&luicode=10000011&lfid=1076031410812623"
12,"4217442732070042","改变人类宇宙认知的人走了，致敬。","311","25",41,"https://m.weibo.cn/status/G7jLr8GvM?mblogid=G7jLr8GvM&luicode=10000011&lfid=1076031410812623"
13,"4217442530342543","如果是有甜味那就不太像来檬了，来檬都是很酸的，这个也可能是一种橘柚，橘子和柚子私生子。//@雪影煝火:我对着青柠的简介左看右看都不像，有葡萄柚的香味，吃起来有一点甜，很苦。看来是青柠成熟之后变黄色了。本来弄回来煮鱼吃的，现在看来也可以用来做凉拌菜。","18","7",1,"https://m.weibo.cn/status/G7jL71r6T?mblogid=G7jL71r6T&luicode=10000011&lfid=1076031410812623"
14,"4217434602416717","确实不是柠檬，更像是来檬，也就是平常说的青柠了。跟柠檬关系比较特别，香橼是柠檬的爸爸，香橼是来檬的妈妈。所以，你说他俩啥关系呢三体人的世界，我们不懂哈。","35","11",9,"https://m.weibo.cn/status/G7jyka8Hj?mblogid=G7jyka8Hj&luicode=10000011&lfid=1076031410812623"
15,"4217412536075582","山莓，南方山上非常多，需要授粉才结果子哈。虽然不是正版树莓，但也能吃哈","34","32",1,"https://m.weibo.cn/status/G7iYJpuxg?mblogid=G7iYJpuxg&luicode=10000011&lfid=1076031410812623"
16,"4217399978398120","花有梗，花瓣缺口说明了她樱花家的成员。其实是迎春樱桃了这颗够大的。","57","30",8,"https://m.weibo.cn/status/G7iEtzeJy?mblogid=G7iEtzeJy&luicode=10000011&lfid=1076031410812623"
17,"4217233796686180","嫁接可能性比较大，也可能是芽变只有园丁知道","29","10",2,"https://m.weibo.cn/status/G7ekrs3nC?mblogid=G7ekrs3nC&luicode=10000011&lfid=1076031410812623"
18,"4217223969129029","种树","16","0",2,"https://m.weibo.cn/status/G7e4ACiSp?mblogid=G7e4ACiSp&luicode=10000011&lfid=1076031410812623"
19,"4217204683166033","刚跟博友聊了一下，看大家有很大误解。【再声明一下#植得吃水果# 的测评不要钱，不要钱，不要钱】，只要提供样品，或者样品的购买线索就可以。好吃了会推荐，不好吃就没戏了。再说三遍，测评不收钱，不收钱，不收钱！","81","24",5,"https://m.weibo.cn/status/G7dzudhD3?mblogid=G7dzudhD3&luicode=10000011&lfid=1076031410812623"
20,"4217176380362615","蝶豆的花#一点植物学# 视频介绍过，碱性水里是蓝色的，如果加点柠檬汁会更好看哈，会变成漂亮的红色。","43","22",13,"https://m.weibo.cn/status/G7cPQ1wkD?mblogid=G7cPQ1wkD&luicode=10000011&lfid=1076031410812623"
21,"4217163688340157","【我为什么要做水果推荐和科普？】
几个大家关心的问题都在这里了，卖不卖水果，赚不赚钱，如何坚持做下去？
说说这事儿的源起吧，其实就是在2015年的时候偶然的机会想吃一下网购能买到的苹果，当时是每日一苹果，把国内买到的苹果都尝了一遍，大家也认可，于是后来就一发不可收拾，做每日一水果。直 ...全文","413","81",28,"https://m.weibo.cn/status/G7cvmyZEF?mblogid=G7cvmyZEF&luicode=10000011&lfid=1076031410812623"
22,"4217151856317135","油菜花","60","27",4,"https://m.weibo.cn/status/G7cchqvnh?mblogid=G7cchqvnh&luicode=10000011&lfid=1076031410812623"
23,"4217121993458460","回复@梦中梦到她梦他:1.反复看了几遍血橙的图片，感觉都没有太大的异样，血橙的花青素确实是不均匀分布的，如果真的均匀分布，那才是有问题。2.所谓的针眼，感觉就是中了冰雹之类外伤留下的痕迹。3.有异味儿，这个很难评判，温度运输碰撞都可能导致风味儿改变。不好吃是可能，但打针真的犯不上。","45","73",7,"https://m.weibo.cn/status/G7bq7evHC?mblogid=G7bq7evHC&luicode=10000011&lfid=1076031410812623"
24,"4217117110537916","关于这条微博，有几个基本点要再次澄清一下。1.本微博举例的本意，并不是说无激素无化肥的就一定好吃，恰恰相反，这样做其实并不能避免空心发生。2.关于评论里有用糖水牛奶种草莓的方法，纯属谣言，我四五年前就写文章辟过谣的。3.题图是艳丽这个品种，本身容易空心。4.植物激素并不会影响人的激素。","50","16",24,"https://m.weibo.cn/status/G7bif2fW4?mblogid=G7bif2fW4&luicode=10000011&lfid=1076031410812623"
25,"4217110223940999","#一点植物学#朋友，你爱吃榴莲吗？你吃过多少种榴莲呢？恩，身在北方，就只吃过一种榴莲，就是最常见的那种很大个儿的，稍微好一些的就很贵，所以看到马来西亚沙巴的市场里，这么多种的榴莲，还这么便宜，心都快飘过去了。从来不知道，榴莲还有红色果肉的，橙色果肉的，还有绿色壳子一提一提卖的，感觉 ...全文","59","42",18,"https://m.weibo.cn/status/G7b78gxev?mblogid=G7b78gxev&luicode=10000011&lfid=1076031410812623"
26,"4217104729791222","#一点植物学#【关于草莓，我有个声明必须要发】如果是无关痛痒的事儿，我也就不争不说，但是 @清石melvin 您都说到这份事儿上了。那我必须回应了，况且我在这个过程里，我没有任何对不起粉丝消费者和自己名头的猫腻。您指出不对，我很欢迎啊，因为这对大家都好啊。但是如果以偏概全来给人下结论，谁能 ...全文","188","110",16,"https://m.weibo.cn/status/G7aYgF58W?mblogid=G7aYgF58W&luicode=10000011&lfid=1076031410812623"
27,"4217068779844337","回复@不爱串门:这个医生并不真正懂，只是听了个概念。大豆异黄酮确实有雌激素类的作用，但是作用又不敌雌激素，就像是二把刀。所以如果在人体雌激素不足的时候摄入，会补充一些，但是如果人体雌激素足够，它们反而会抢占雌激素的地盘，降低人体雌激素的作用。","33","12",15,"https://m.weibo.cn/status/G7a2hFiXD?mblogid=G7a2hFiXD&luicode=10000011&lfid=1076031410812623"
28,"4217053391058060","黄花风铃木和白花泡桐，真的是超美丽的花朵。而且白花泡桐还有很多花蜜哦，小时候最喜欢干的事儿就是揪开花朵，舔那些花瓣的屁股，很甜。干过同样事情的同学请举手🙋","145","57",32,"https://m.weibo.cn/status/G79Dt4rfu?mblogid=G79Dt4rfu&luicode=10000011&lfid=1076031410812623"
29,"4217007656391338","#一点植物学# 【不是段子：有一位老人家专门买小的草莓，因为认为“大的都是打激素的”，于是，家人吃了很多年又小又酸的草莓，结果发现，吃的小草莓都是用植物激素用超量的果子】草莓空心和畸形其实其实是正常的现象，温度低和授粉不良是畸形的主要因素，水分过多，肥料过足是空心的主要因素。 ...全文","534","374",219,"https://m.weibo.cn/status/G78rHqOG6?mblogid=G78rHqOG6&luicode=10000011&lfid=1076031410812623"
30,"4216862344229680","转发微博","43","13",45,"https://m.weibo.cn/status/G74FkhKkE?mblogid=G74FkhKkE&luicode=10000011&lfid=1076031410812623"
31,"4216856288138497","回复@河二:星苹果，与其说是苹果，不如说是柿子，因为味道就像柿子。//@河二:@植物人史军","37","12",9,"https://m.weibo.cn/status/G74vyy9c5?mblogid=G74vyy9c5&luicode=10000011&lfid=1076031410812623"
32,"4216812519863350","这个丑丑的果子居然有个响亮的名字，还跟口香糖有关系，细节信息都在头条文章中：《人心果不是人心，口香糖树上的大柿子》 人心果不是人心，口香糖树上的大柿子","58","12",11,"https://m.weibo.cn/status/G73mXFnUi?mblogid=G73mXFnUi&luicode=10000011&lfid=1076031410812623"
33,"4216792387993417","煲汤去了//@休与山的木己守辰: 深圳有老人路边捡这个，干嘛呢？//@植物人史军:木棉和红千层，又到木棉开花的时候了，大家小心被木棉砸头上，还挺疼的","39","27",6,"https://m.weibo.cn/status/G72Quxxs5?mblogid=G72Quxxs5&luicode=10000011&lfid=1076031410812623"
34,"4216788201856863","木棉和红千层，又到木棉开花的时候了，大家小心被木棉砸头上，还挺疼的","32","18",14,"https://m.weibo.cn/status/G72JK7N3p?mblogid=G72JK7N3p&luicode=10000011&lfid=1076031410812623"
35,"4216782040861538","短穗鱼尾葵，不能吃哦，吃了嘴巴会肿起来的","45","23",10,"https://m.weibo.cn/status/G72zO3C7M?mblogid=G72zO3C7M&luicode=10000011&lfid=1076031410812623"
36,"4216772111939552","回复@松鼠濑尿虾:取决于饿的程度//@松鼠濑尿虾:面包果好吃么？","50","16",376,"https://m.weibo.cn/status/G72jN88z6?mblogid=G72jN88z6&luicode=10000011&lfid=1076031410812623"
37,"4216764155650149","#一点植物学#【烤着吃的面包果和猴面包果是俩东西】30年前，我读到一篇科普文，说非洲有一种叫猴面包树（图7-9）的植物，结出的果子烤熟之后，就像面包一样松软可口于是我一直向往这种果子向往了20年。直到有一天，我真的吃了这果子，我想说的是，作者太太太能扯了，有点谱吗？
1.面包果是烤着吃 ...全文","723","282",856,"https://m.weibo.cn/status/G726XnHRr?mblogid=G726XnHRr&luicode=10000011&lfid=1076031410812623"
38,"4216732375604204","#一点植物学#亚麻籽是最近新兴起来的一种健康食物，不饱和脂肪酸含量很高，更重要的是它们吃的时候是带壳的，可以促进肠胃蠕动。但是，亚麻籽只能作为补充食物来吃，如果天天当做主食来吃，那就得不偿失了，因为我们没有办法在里面获得过于多的养分。最后，今天的视频是有给大家留作业的哦，好好瞅瞅， ...全文","37","34",6,"https://m.weibo.cn/status/G71hHnvUo?mblogid=G71hHnvUo&luicode=10000011&lfid=1076031410812623"
39,"4216695415524230","这个比较牛啊，是澳洲坚果树，也叫夏威夷果哈。需要进行异花授粉才能有效结果。附带说一句，种仁70%都是油，祝大家增重开心😃","72","54",7,"https://m.weibo.cn/status/G70k5nb6u?mblogid=G70k5nb6u&luicode=10000011&lfid=1076031410812623"
40,"4216684103129266","君子兰开花了啊","44","12",3,"https://m.weibo.cn/status/G701Qd842?mblogid=G701Qd842&luicode=10000011&lfid=1076031410812623"
41,"4216494840261137","行家//@战争史研究WHS: 馒头丁略大。切成大拇指指甲盖大小比较好吃。用鸡蛋炒饭做法，加葱花（炒得微焦），香！","38","24",7,"https://m.weibo.cn/status/G6V6A15VT?mblogid=G6V6A15VT&luicode=10000011&lfid=1076031410812623"
42,"4216489370206108","#一点植物学# 增重神器哦炒馍花","91","66",87,"https://m.weibo.cn/status/G6UXL0RCk?mblogid=G6UXL0RCk&luicode=10000011&lfid=1076031410812623"
43,"4216483464810609","好丝，好丝","3","0",0,"https://m.weibo.cn/status/G6UOekbst?mblogid=G6UOekbst&luicode=10000011&lfid=1076031410812623"
44,"4216442926739984","说实话，都不好吃//@M喵科动物M：那和海底椰口感和营养哪个好？","23","10",1,"https://m.weibo.cn/status/G6TKQshnq?mblogid=G6TKQshnq&luicode=10000011&lfid=1076031410812623"
45,"4216439487330890","红木，种子可以做胭脂","71","10",5,"https://m.weibo.cn/status/G6TFiuL6a?mblogid=G6TFiuL6a&luicode=10000011&lfid=1076031410812623"
